"College_code","Dept","1G","1K","1R","2AG","2AK","2AR","2BG","2BK","2BR","3AG","3AK","3AR","3BG","3BK","3BR","GM","GMK","GMR","SCG","SCK","SCR","STG","STK","STR"
"E001","AI","19290","--","--","10208","23070","14859","11219","--","--","5912","--","15254","5977","--","--","5891","7512","13336","29638","53754","30827","16716","--","20891"
"E001","CV","85688","--","93078","69783","75697","95973","83592","--","96030","53856","--","63267","59545","--","60337","41380","57100","58101","75535","76748","87304","42512","--","--"
"E001","CS","3151","--","--","4133","8767","5345","9313","--","--","3263","--","--","3932","--","--","2579","7054","5048","16140","16694","23646","11788","--","13006"
"E001","EC","14623","18177","25952","12355","--","18461","16731","--","17724","8814","--","14305","10460","14951","13993","8474","11650","13808","35191","--","40847","19814","--","--"
"E001","EE","28873","--","--","32458","--","45902","25644","89944","--","23360","45607","--","26953","--","28813","18916","29031","28175","47675","--","49077","31406","--","--"
"E001","IS","7477","--","--","7384","--","11255","10273","--","--","5121","--","--","4702","--","--","4304","6566","5951","25719","--","30896","13016","17615","14699"
"E001","ME","101314","--","--","94040","115084","141557","80818","--","115545","51521","--","82218","61271","109399","84367","43447","59959","76682","132354","149497","169571","84043","--","--"
"E002","CV","109873","--","--","128807","--","162869","103601","--","--","87836","--","--","88188","--","103994","80554","99399","101023","106560","137427","109757","104710","--","--"
"E002","CS","21682","--","--","21326","31176","21503","22494","--","28071","16143","--","22296","17379","--","--","15092","21397","19096","34605","--","43113","23879","--","--"
"E002","EC","44174","--","--","33910","36276","41407","56237","--","--","32874","--","--","33118","--","--","26495","28887","30976","46375","109435","50279","28759","--","62027"
"E002","ST","110116","--","--","102542","--","--","--","--","--","--","--","--","135518","--","--","79658","121845","111754","122708","--","--","128822","--","--"
"E002","TX","116908","--","--","151329","--","--","144354","--","--","103504","--","--","137766","155803","--","100403","--","118216","155224","--","--","--","--","--"
"E003","CV","44031","--","124660","65253","151829","--","55425","--","--","33955","--","--","40490","--","83239","27793","38065","42321","71265","86971","137114","45047","--","--"
"E003","EC","3676","--","--","7316","--","8432","6382","--","--","2705","--","9568","5081","9275","--","2595","6222","7022","23400","--","40824","16899","--","--"
"E003","EE","14659","--","--","19339","--","28879","24490","--","--","11708","--","27360","15153","37545","26047","11188","21856","23192","28822","--","51005","41005","--","--"
"E003","IM Ind. Engg.
Mgmt.","97914","--","--","144109","--","--","68968","--","--","55006","--","95006","54429","--","--","34923","91360","92980","153834","--","168129","90666","--","--"
"E003","ME","60619","--","--","58338","--","--","15149","175764","163613","24814","--","--","30213","--","--","14398","34809","29546","111211","--","--","36374","--","--"
"E004","CV","128956","--","--","177834","--","--","--","--","--","95767","--","--","86384","--","154814","79807","107186","112080","128879","159082","164964","131591","--","--"
"E004","CS","12114","--","22237","14140","--","17816","11827","--","--","10284","--","--","10810","19034","18395","10234","16776","12690","31060","--","41239","18470","--","--"
"E004","EC","28351","--","29503","26528","27239","38666","29303","--","112649","22249","--","--","22709","--","29897","17981","26200","20946","45123","50041","73202","45314","--","--"
"E004","EE","40008","--","--","61847","105425","78543","49806","--","112013","45305","--","49297","55308","--","--","38646","42229","45009","51283","80208","74612","62044","--","--"
"E004","EI Elec. Inst.
Engg","67755","--","--","138497","--","--","142400","--","--","72514","--","96741","95638","--","144625","64457","64924","92927","130599","--","--","95407","--","--"
"E004","ET Elec.
Telecommn. Engg.","59551","--","--","75179","--","115706","113434","--","--","53378","68092","--","56201","--","--","43639","52095","66395","106529","--","--","44171","--","--"
"E004","IM Ind. Engg.
Mgmt.","124878","--","--","158160","--","--","126653","--","--","131681","--","--","123568","--","--","115153","142126","145762","--","--","--","--","--","--"
"E004","ME","164949","--","--","--","--","--","151044","--","--","156309","--","--","167253","--","--","128373","174167","157305","176055","--","--","178724","--","--"
"E005","AI Artificial
Intelligence","1402","--","--","2161","--","2422","1075","--","--","1569","--","--","--","--","--","614","9577","2293","18881","--","36433","13649","--","--"
"E005","BT","16477","--","--","20855","--","--","21674","--","--","11301","--","--","7533","--","--","7456","75079","15968","31095","--","--","--","--","70811"
"E005","CV","25032","--","105831","50373","134668","58823","43893","--","--","27802","--","--","31532","--","40670","22445","29525","34541","35822","--","107892","41544","--","--"
"E005","CH","--","--","--","20317","--","--","--","--","--","--","--","--","11323","--","--","9180","--","15669","75473","--","--","45227","--","57361"
"E005","CS","593","--","3938","773","895","1051","650","--","1749","610","--","--","1003","--","1453","315","759","694","7102","7709","9123","3308","--","--"
"E005","EC","2582","--","7105","4030","6204","4528","4975","--","--","1864","--","4255","1576","--","5107","1303","2546","4193","11921","--","17093","7194","--","--"
"E005","EE","12789","--","--","14681","--","41855","15576","--","--","5062","--","--","6419","41481","--","4031","--","12067","17042","--","38031","--","--","--"
"E005","EI Elec. Inst.
Engg","17932","--","--","12380","--","26292","26506","--","--","9688","--","--","9176","--","--","6238","32168","16740","55902","--","--","--","--","--"
"E005","ET Elec.
Telecommn. Engg.","13919","--","--","8607","--","17299","5585","--","--","14501","--","--","8156","--","--","4737","13954","6284","30030","--","51704","10007","--","--"
"E005","IS","1627","--","--","1223","--","2155","1058","6949","--","1228","--","--","1015","--","--","430","--","882","11366","--","12986","--","--","--"
"E005","IM Ind. Engg.
Mgmt.","86631","--","--","53042","--","--","46437","--","--","46098","--","49981","35023","--","--","16132","94851","39797","70959","--","--","--","--","--"
"E005","ME","20903","--","--","26588","--","35887","15901","--","75643","18683","107009","--","8148","--","--","7801","27970","33930","62756","--","75462","40757","--","--"
"E005","SE Aero Space
Engg.","4228","--","--","15976","--","25213","9202","--","--","4716","--","--","9291","--","--","3510","--","13776","20089","28531","65673","--","--","--"
"E006","AD Artificial
Intel, Data Sc","7583","--","--","6567","--","14625","4513","--","--","3466","--","--","4161","--","--","2604","13823","6646","16091","--","55345","10156","--","--"
"E006","AI Artificial
Intelligence","--","--","--","6294","--","14162","5106","--","--","4563","--","--","3898","--","--","2235","--","6906","23226","47358","65811","15978","--","--"
"E006","BT","31831","--","--","17915","--","28273","24629","--","--","14096","--","--","15542","--","--","10843","51172","20775","39024","--","63042","--","--","--"
"E006","CA CS (AI, Machine
Learning)","3675","--","--","3320","18704","5943","3526","--","--","2036","--","--","1821","--","--","1293","--","2296","16172","--","44402","--","--","--"
"E006","CV","48351","--","--","97526","--","--","79934","--","--","41295","--","--","54090","--","61775","37289","54343","51160","63378","79183","99912","71824","--","--"
"E006","CH","45155","--","--","50626","--","--","47381","--","--","28353","--","--","28578","--","--","28213","--","71024","113596","--","--","54638","--","--"
"E006","CS","1024","--","--","2275","--","2328","1163","--","7549","989","--","--","1405","--","2707","962","1620","1666","7462","15974","11720","3549","--","--"
"E006","CY CS- Cyber
Security","3773","--","--","4152","--","--","2896","--","--","4491","--","--","3663","--","--","1913","3485","5152","21604","--","--","--","--","34285"
"E006","EC","6056","--","12481","6577","13829","8407","4192","--","--","4727","--","--","4138","--","--","3642","8178","8322","23339","--","35451","11503","--","--"
"E006","EE","15044","--","--","21623","--","44687","24098","--","--","8237","--","--","12585","--","--","7536","37626","12418","33327","40783","48319","--","--","--"
"E006","EI Elec. Inst.
Engg","26597","--","--","26252","--","55041","42673","--","--","16971","--","--","19005","--","--","15181","30467","33286","52951","--","76706","--","--","--"
"E006","ET Elec.
Telecommn. Engg.","22046","--","--","11150","--","--","26471","--","--","9181","--","35121","10202","89333","--","8707","24388","28300","75871","--","--","--","--","--"
"E006","IS","2423","11329","--","3904","--","8852","6761","--","9697","2285","--","--","2310","--","--","1670","9937","3126","16963","--","30699","13540","--","--"
"E006","IM Ind. Engg.
Mgmt.","120545","--","--","62888","--","--","63365","--","--","48581","--","--","36953","--","--","33998","--","77399","73808","--","--","149621","--","--"
"E006","MD","76064","--","--","30726","--","--","53364","--","--","45918","--","58921","29500","--","--","20385","119348","40613","141862","--","--","--","--","--"
"E006","ME","43826","--","--","58969","--","113093","43653","--","--","40075","--","59433","21981","--","50186","16760","39694","46148","64363","--","--","65684","--","--"
"E007","AE","20013","--","--","26274","--","--","33950","--","--","19516","--","--","18266","--","--","16707","22905","21831","28393","--","--","26141","--","61551"
"E007","AI Artificial
Intelligence","23405","--","--","10184","--","16092","9247","--","--","7038","--","--","5635","--","--","4547","--","12266","41344","84031","120910","--","--","--"
"E007","AU","100485","--","--","150032","--","--","99932","--","--","65705","--","--","--","--","--","65688","--","66277","88674","--","--","--","--","--"
"E007","BT","27781","--","--","28726","--","--","27407","--","--","20976","--","--","29636","--","--","16348","91728","53196","62103","--","--","31571","--","--"
"E007","CD Computer Sc.
and Design","16724","--","--","10664","--","21928","20046","--","--","10033","--","--","8193","36487","--","6957","--","14515","44584","--","46548","--","--","--"
"E007","CV","173994","--","--","167905","--","--","175880","--","--","114932","--","--","176082","--","--","96515","142643","176442","173058","--","--","166484","--","--"
"E007","CH","70695","--","--","113417","--","145635","80211","--","--","49328","--","--","72025","179286","--","42914","--","98915","162896","--","--","158109","--","--"
"E007","CS","7559","--","12880","8200","16088","9906","9506","--","14311","4535","--","--","5527","--","7799","3670","7187","7254","23130","32451","34631","10901","--","--"
"E007","EC","16586","--","27833","18482","42775","26195","21039","--","--","11238","--","19439","13342","--","20820","10800","16914","18037","42255","69078","89132","27480","--","--"
"E007","EE","41465","--","--","55560","--","68944","31252","--","56274","28094","--","--","37205","--","68912","27975","47131","40035","60935","--","140279","52697","54583","--"
"E007","EI Elec. Inst.
Engg","85410","--","--","86230","--","137351","101357","--","--","113780","--","--","44875","--","--","35495","--","69934","156443","--","--","--","--","--"
"E007","ET Elec.
Telecommn. Engg.","57894","--","--","52677","--","79617","53646","--","--","40103","--","133496","34847","--","88512","32103","60485","78793","81631","--","--","74902","--","--"
"E007","IS","8866","--","--","9387","--","10948","6926","26015","33122","6381","--","9197","5942","--","--","5305","20687","8953","30027","--","73766","16786","--","--"
"E007","MD","122015","--","--","106011","--","--","59046","--","--","88747","--","--","147519","--","--","55091","104133","135079","182606","--","--","78492","--","--"
"E007","ME","156870","--","--","181688","--","--","140641","--","--","112459","--","--","118110","--","--","78484","113464","163305","182217","--","--","134472","--","--"
"E008","AI Artificial
Intelligence","11131","--","--","11325","--","20586","11483","--","--","9292","--","--","9524","--","--","8463","24713","18098","39989","--","106501","--","--","--"
"E008","CV","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","180506","--","--","--","--","--","--","--","--"
"E008","CS","7323","--","20365","9088","17852","13289","11722","--","19059","4955","--","--","6013","--","8820","4482","12323","8723","24644","29971","28148","13883","--","--"
"E008","EC","25401","--","37032","19677","23233","24883","25010","--","--","12638","--","21735","14845","--","19154","12413","20851","19062","48298","49664","68505","32154","--","--"
"E008","EE","49842","--","--","51300","--","116790","36005","--","--","29939","--","--","48830","--","--","29737","66923","35196","66673","--","--","--","--","--"
"E008","EI Elec. Inst.
Engg","--","--","--","76141","--","111717","96653","--","--","62560","--","--","97269","--","133868","62507","--","105984","159173","--","--","79487","--","--"
"E008","ET Elec.
Telecommn. Engg.","130936","--","--","43676","--","--","87795","--","--","32592","--","--","40863","--","--","25127","86414","55126","100503","--","146434","--","--","--"
"E008","IS","10228","--","--","10593","--","15909","11901","--","47362","7304","16753","--","7475","--","--","6987","15443","9184","30377","--","68927","25835","--","32917"
"E008","IM Ind. Engg.
Mgmt.","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","179104","--","--","--","--","--","--","--","--"
"E008","ME","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","178299","--","--","--","--","--","--","--","--"
"E009","BT","33251","--","--","18526","--","--","22405","--","--","9480","--","--","12058","--","--","8336","176920","25550","45932","--","--","--","--","99370"
