College_code,Dept,1G,2AG,2AR,2BG,3AG,3AR,3BG,GM,GMK,GMR,SCG,SCR,STG,STR,1R,2AK,2BR,3BR,SCK,3BK,2BK,STK,1K,3AK
E001,AI,10579.63,10188.88,12177.05,11694.95,7898.79,18297.62,7960.43,6897.88,10046.26,9581.41,26568.13,45514.45,20664.87,30448.84,,,,,,,,,,
E001,CV,113686.36,107711.93,121693.04,99832.29,85061.88,91454.07,96353.32,71673.47,82486.54,86097.25,105159.69,168171.97,106365.25,,136064.8,125393.92,102857.24,104819.36,123771.39,,,,,
E001,CS,6023.23,5498.76,7156.59,6339.55,4432.55,,4370.77,3871.21,6659.2,5406.92,18965.16,25614.39,13754.81,17716.08,,7678.46,,,25212.88,,,,,
E001,EC,15091.3,15252.97,17370.34,19873.2,10882.63,13912.78,11318.24,9703.4,14278.74,12856.1,35142.02,49721.16,30663.46,,18830.33,17656.26,44204.16,15459.85,50431.46,14927.32,,,,
E001,EE,37161.91,35153.06,50431.44,47278.08,24720.05,,28387.39,22795.36,31244.95,29936.27,64561.96,71690.56,62351.43,,,44641.08,,33205.71,69438.36,,94772.5,,,
E001,IS,7997.82,6973.06,8597.37,8275.19,5345.64,,5567.68,5171.31,6420.41,5917.11,23776.62,35789.25,20197.7,24916.79,,,,,,,,,,
E001,ME,89513.4,112333.35,116456.2,108650.45,77898.36,85444.84,94553.32,64118.71,78979.19,81642,144542.76,169882.54,131401.25,156016.98,93407.5,,149674.54,120361.38,172334.14,120700.25,,168332.42,,
E002,CV,,174115.18,,171764.71,132578.62,,131814.7,137809.11,150387.22,161493.22,170244.01,,171380.55,,,,,171208.94,,,,,,
E002,CS,26062.58,27516.86,27614.66,27335.82,23108.11,,23934.11,21421.39,23153.72,20980.04,32424.87,44543.11,29662.17,,,33314.6,,26085.84,,,,,,
E002,EC,52794.57,41921.6,49723.2,54961.24,38065.66,,39890.9,34692.51,40641.09,41323.29,66419.87,68743.48,63050.18,,,43037.38,,,87630.9,,,,,
E002,ST,,,,,,,,181657.02,,,,,,,,,,,,,,,,
E002,TX,,,,,,,,186768.27,,,,,,,,,,,,,,,,
E003,CV,52191,77100.03,,93710.52,58765.64,,63445.78,46243.59,52546.06,68092.8,110993.54,146199.72,77230.37,,,,,81610.26,124066.46,,,,,
E003,EC,5801.55,6942.73,11155.88,13301.01,4691.48,,4730.87,3452.78,7996.04,7777.17,22734.5,33606.11,26952.18,,13089.42,14579.72,,,,,,,,
E003,EE,25145.48,22681.87,30144.24,25230.93,19151.73,,18784.21,15142.26,18071.15,25455.77,58202.52,89944.93,43041.55,91877.08,,,,26551.68,,31752.28,,,,
E003,IM,98872.62,107601.93,,79704.5,65622.59,112225.06,78152.71,52263.1,99644.04,82360.19,139065.29,,139337.98,,,,,,,,,,,
E003,ME,103380.37,57558.82,80748.36,73326.21,42083.19,,39486.46,35117.01,43209.48,49952.37,118007.08,,103623.87,,,,,,,,,,,
E004,CV,165184.92,157281.24,,,136205.04,,134967.96,137125.89,133504.1,133959.58,166642.68,,183245.96,,,,,157141.3,,,,,,
E004,CS,12969.16,13072.4,14195.12,14679.22,12374.29,,12035.41,10572.27,13255.35,12312.64,27035.02,34637.69,22370.83,,,,,13691.56,,,,,,
